Timestamp,Interface,Traffic Type,RX_Bytes/s,TX_Bytes/s
2025-06-07 13:22:42,uesimtun2,Video,0,0
2025-06-07 13:22:42,uesimtun1,IoT,0,0
2025-06-07 13:22:43,uesimtun0,Browsing,0,0
2025-06-07 13:22:43,uesimtun2,Video,0,0
2025-06-07 13:22:43,uesimtun1,IoT,0,0
2025-06-07 13:22:44,uesimtun0,Browsing,0,0
2025-06-07 13:22:44,uesimtun2,Video,0,0
2025-06-07 13:22:44,uesimtun1,IoT,0,0
2025-06-07 13:22:45,uesimtun0,Browsing,0,0
2025-06-07 13:22:45,uesimtun2,Video,0,0
2025-06-07 13:22:45,uesimtun1,IoT,0,0
2025-06-07 13:22:46,uesimtun0,Browsing,0,0
2025-06-07 13:22:46,uesimtun2,Video,0,0
2025-06-07 13:22:46,uesimtun1,IoT,0,0
2025-06-07 13:22:47,uesimtun0,Browsing,0,0
2025-06-07 13:22:47,uesimtun2,Video,0,0
2025-06-07 13:22:47,uesimtun1,IoT,0,0
2025-06-07 13:22:48,uesimtun0,Browsing,0,0
2025-06-07 13:22:48,uesimtun2,Video,0,0
2025-06-07 13:22:48,uesimtun1,IoT,0,0
2025-06-07 13:22:49,uesimtun0,Browsing,0,0
2025-06-07 13:22:49,uesimtun2,Video,0,0
2025-06-07 13:22:49,uesimtun1,IoT,0,0
2025-06-07 13:22:50,uesimtun0,Browsing,0,0
2025-06-07 13:22:50,uesimtun2,Video,0,0
2025-06-07 13:22:50,uesimtun1,IoT,0,0
2025-06-07 13:22:51,uesimtun0,Browsing,0,0
2025-06-07 13:22:51,uesimtun2,Video,0,0
2025-06-07 13:22:51,uesimtun1,IoT,0,0
2025-06-07 13:22:52,uesimtun0,Browsing,0,60
2025-06-07 13:22:52,uesimtun2,Video,0,0
2025-06-07 13:22:52,uesimtun1,IoT,0,0
2025-06-07 13:22:53,uesimtun0,Browsing,0,0
2025-06-07 13:22:53,uesimtun2,Video,0,0
2025-06-07 13:22:53,uesimtun1,IoT,0,0
2025-06-07 13:22:54,uesimtun0,Browsing,0,0
2025-06-07 13:22:54,uesimtun2,Video,0,0
2025-06-07 13:22:54,uesimtun1,IoT,0,0
2025-06-07 13:22:55,uesimtun0,Browsing,0,0
2025-06-07 13:22:55,uesimtun2,Video,0,0
2025-06-07 13:22:55,uesimtun1,IoT,0,0
2025-06-07 13:22:56,uesimtun0,Browsing,0,0
2025-06-07 13:22:56,uesimtun2,Video,0,0
2025-06-07 13:22:56,uesimtun1,IoT,0,0
2025-06-07 13:22:57,uesimtun0,Browsing,0,0
2025-06-07 13:22:57,uesimtun2,Video,0,0
2025-06-07 13:22:57,uesimtun1,IoT,0,0
2025-06-07 13:22:58,uesimtun0,Browsing,0,0
2025-06-07 13:22:58,uesimtun2,Video,0,0
2025-06-07 13:22:58,uesimtun1,IoT,0,0
2025-06-07 13:22:59,uesimtun0,Browsing,0,0
2025-06-07 13:22:59,uesimtun2,Video,0,0
2025-06-07 13:22:59,uesimtun1,IoT,0,0
2025-06-07 13:23:00,uesimtun0,Browsing,0,0
2025-06-07 13:23:00,uesimtun2,Video,0,0
2025-06-07 13:23:00,uesimtun1,IoT,0,0
2025-06-07 13:23:01,uesimtun0,Browsing,0,0
2025-06-07 13:23:01,uesimtun2,Video,0,0
2025-06-07 13:23:01,uesimtun1,IoT,0,0
2025-06-07 13:23:02,uesimtun0,Browsing,0,0
2025-06-07 13:23:02,uesimtun2,Video,0,0
2025-06-07 13:23:02,uesimtun1,IoT,0,0
2025-06-07 13:23:03,uesimtun0,Browsing,0,0
2025-06-07 13:23:03,uesimtun2,Video,0,0
2025-06-07 13:23:03,uesimtun1,IoT,0,0
2025-06-07 13:23:04,uesimtun0,Browsing,0,0
2025-06-07 13:23:04,uesimtun2,Video,0,0
2025-06-07 13:23:04,uesimtun1,IoT,0,0
2025-06-07 13:23:05,uesimtun0,Browsing,0,0
2025-06-07 13:23:05,uesimtun2,Video,0,0
2025-06-07 13:23:05,uesimtun1,IoT,0,0
2025-06-07 13:23:06,uesimtun0,Browsing,0,0
2025-06-07 13:23:06,uesimtun2,Video,0,0
2025-06-07 13:23:06,uesimtun1,IoT,0,0
2025-06-07 13:23:07,uesimtun0,Browsing,0,0
2025-06-07 13:23:07,uesimtun2,Video,0,0
